Size,Type,d,b,t,R1,R2,W,A,Ix,Sx,rx,y,Iy,Sy,ry,x,Iz,rz,a
L 4 x 4 x 3/4,Aluminum Association,4.000,4.000,0.750,0.375,0.250,6.40,5.44,7.58,2.77,1.18,1.27,7.58,2.77,1.18,1.27,3.21,0.768,45
L 5 x 5 x 3/8,Aluminum Association,5.000,5.000,0.375,0.500,0.375,4.24,3.60,8.40,2.31,1.53,1.36,8.40,2.31,1.53,1.36,3.19,0.941,45
L 5 x 5 x 7/16,Aluminum Association,5.000,5.000,0.438,0.500,0.375,4.92,4.18,9.69,2.68,1.52,1.39,9.69,2.68,1.52,1.39,3.73,0.945,45
L 5 x 5 x 1/2,Aluminum Association,5.000,5.000,0.500,0.500,0.375,5.58,4.74,10.9,3.04,1.52,1.41,10.9,3.04,1.52,1.41,4.25,0.947,45
L 5 x 5 x 9/16,Aluminum Association,5.000,5.000,0.563,0.500,0.375,6.24,5.31,12.1,3.40,1.51,1.44,12.1,3.40,1.51,1.44,4.77,0.948,45
L 5 x 5 x 5/8,Aluminum Association,5.000,5.000,0.625,0.500,0.375,6.88,5.85,13.3,3.75,1.50,1.46,13.3,3.75,1.50,1.46,5.28,0.949,45
L 5 x 5 x 3/4,Aluminum Association,5.000,5.000,0.750,0.500,0.375,8.15,6.93,15.4,4.42,1.49,1.51,15.4,4.42,1.49,1.51,6.27,0.951,45
L 6 x 6 x 3/8,Aluminum Association,6.000,6.000,0.375,0.500,0.375,5.12,4.35,14.9,3.39,1.85,1.61,14.9,3.39,1.85,1.61,5.69,1.14,45
L 6 x 6 x 7/16,Aluminum Association,6.000,6.000,0.438,0.500,0.375,5.95,5.06,17.2,3.94,1.84,1.64,17.2,3.94,1.84,1.64,6.65,1.15,45
L 6 x 6 x 1/2,Aluminum Association,6.000,6.000,0.500,0.500,0.375,6.75,5.74,19.4,4.48,1.84,1.66,19.4,4.48,1.84,1.66,7.58,1.15,45
L 6 x 6 x 5/8,Aluminum Association,6.000,6.000,0.625,0.500,0.375,8.35,7.10,23.7,5.52,1.83,1.71,23.7,5.52,1.83,1.71,9.39,1.15,45
L 6 x 6 x 3/4,Aluminum Association,6.000,6.000,0.750,0.500,0.375,9.91,8.43,27.7,6.53,1.81,1.76,27.7,6.53,1.81,1.76,11.1,1.15,45
L 8 x 8 x 1/2,Aluminum Association,8.000,8.000,0.500,0.625,0.375,9.14,7.77,47.8,8.18,2.48,2.16,47.8,8.18,2.48,2.16,18.8,1.55,45
L 8 x 8 x 5/8,Aluminum Association,8.000,8.000,0.625,0.625,0.375,11.3,9.63,58.6,10.1,2.47,2.21,58.6,10.1,2.47,2.21,23.2,1.55,45
L 8 x 8 x 3/4,Aluminum Association,8.000,8.000,0.750,0.625,0.375,13.5,11.5,68.9,12.0,2.45,2.26,68.9,12.0,2.45,2.26,27.5,1.55,45
L 8 x 8 x 1,Aluminum Association,8.000,8.000,1.000,0.625,0.375,17.7,15.0,88.2,15.6,2.42,2.35,88.2,15.6,2.42,2.35,35.9,1.55,45
L 1 3/4 x 1 1/4 x 1/8,Aluminum Association,1.750,1.250,0.125,0.188,0.125,0.42,0.360,0.109,0.0901,0.549,0.544,0.0460,0.0484,0.357,0.300,0.0238,0.257,27.12
L 1 3/4 x 1 1/4 x 3/16,Aluminum Association,1.750,1.250,0.188,0.188,0.125,0.62,0.530,0.157,0.133,0.544,0.572,0.0659,0.0713,0.353,0.326,0.0355,0.259,26.61
