Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
ST,ST5X12.7,ST5X12.7,F,12.7,3.72,5,5,4.66,4  5/8 ,0.311,  5/16,  3/16,0.491,  1/2 ,1.13,1  1/8 ,1.2,0.403,4.75,16.1,7.79,3.7,2.05,1.45,3.36,2.49,1.44,0.95,0.3,0.173,1.98,0.767,–,–,–,–,2  3/4 
ST,ST4X11.5,ST4X11.5,F,11.5,3.38,4,4,4.17,4  1/8 ,0.441,  7/16,  1/4 ,0.425,  7/16,1,1,1.15,0.439,4.91,9.07,5,3.19,1.76,1.22,2.13,1.84,1.02,0.795,0.271,0.168,1.73,0.704,–,–,–,–,2  1/4 
ST,ST4X9.2,ST4X9.2,F,9.2,2.7,4,4,4,4,0.271,  1/4 ,  1/8 ,0.425,  7/16,1,1,0.942,0.336,4.71,14.8,3.49,2.07,1.14,1.14,1.84,1.59,0.922,0.827,0.167,0.0642,1.58,0.788,–,–,–,–,2  1/4 
ST,ST3X8.6,ST3X8.6,F,8.6,2.53,3,3,3.57,3  5/8 ,0.465,  7/16,  1/4 ,0.359,  3/8 ,0.813, 13/16,0.915,0.394,4.97,6.45,2.12,1.85,1.02,0.915,1.14,1.17,0.642,0.673,0.181,0.0772,1.35,0.705,–,–,–,–,–
ST,ST3X6.25,ST3X6.25,F,6.25,1.83,3,3,3.33,3  3/8 ,0.232,  1/4 ,  1/8 ,0.359,  3/8 ,0.813, 13/16,0.692,0.271,4.64,12.9,1.26,1.01,0.547,0.831,0.901,0.93,0.541,0.702,0.083,0.0197,1.2,0.819,–,–,–,–,–
ST,ST2.5X5,ST2.5X5,F,5,1.46,2.5,2  1/2 ,3,3,0.214,  3/16,  1/8 ,0.326,  5/16,0.75,  3/4 ,0.57,0.239,4.6,11.7,0.671,0.65,0.348,0.677,0.597,0.686,0.398,0.638,0.0568,0.01,1.02,0.839,–,–,–,–,–
ST,ST2X4.75,ST2X4.75,F,4.75,1.4,2,2,2.8,2  3/4 ,0.326,  5/16,  3/16,0.293,  5/16,0.75,  3/4 ,0.553,0.25,4.78,6.13,0.462,0.592,0.319,0.575,0.444,0.565,0.317,0.564,0.059,0.01,0.903,0.797,–,–,–,–,–
ST,ST2X3.85,ST2X3.85,F,3.85,1.13,2,2,2.66,2  5/8 ,0.193,  3/16,  1/8 ,0.293,  5/16,0.75,  3/4 ,0.448,0.204,4.54,10.4,0.307,0.381,0.198,0.522,0.374,0.485,0.281,0.576,0.0364,0.00457,0.834,0.869,–,–,–,–,–
ST,ST1.5X3.75,ST1.5X3.75,F,3.75,1.1,1.5,1  1/2 ,2.51,2  1/2 ,0.349,  3/8 ,  3/16,0.26,  1/4 ,0.625,  5/8 ,0.432,0.219,4.83,4.3,0.2,0.351,0.187,0.426,0.289,0.411,0.23,0.513,0.0432,0.00496,0.732,0.83,–,–,–,–,–
ST,ST1.5X2.85,ST1.5X2.85,F,2.85,0.83,1.5,1  1/2 ,2.33,2  3/8 ,0.17,  3/16,  1/8 ,0.26,  1/4 ,0.625,  5/8 ,0.329,0.171,4.48,8.82,0.114,0.196,0.097,0.37,0.223,0.328,0.192,0.518,0.0216,0.00189,0.667,0.911,–,–,–,–,–
